Course Name,Reviewer Name,Date of Review,Review Content,Rating Star
First Step Korean,By Sibi B,"May 10, 2020","A really well-structured and informative course. Of course, the reason I started this course is because of my interest in Korean media and this course helped me get a basic grasp of everyday Korean.",5
First Step Korean,By Akarsha A S,"Jun 17, 2018","Seung Hae Kang Mam taught each lessons thoroughly. It was very easy to learn.I am an Indian and I have watched more no:of Korean dramas and I like all Kpops , especially EXO. I like Korea very much.I have made Korean dishes .So, I just made up my mind to learn Korean language.So,I took "" First step Korean"" course.As expected,Coursera always provides best university's courses.It was an awesome experience.I learned Korean language very easily.Now,I am going to take another course ""Learn to speak Korean 1"" by Yonsei University.Thanks a lot Mam for giving such an awesome teaching.. :)",5
First Step Korean,By Just S,"Jan 9, 2019",The lecture and lessons were really nice but she speaks a bit too fast and you can't repeat what she said fast enough while learning it for the first time.,4
First Step Korean,By natalia m,"Dec 15, 2018","I love the course. The professor explained everything well. I understood everything. The practice exercises help you understand the lesson way better. The only thing that still gets me confused is the pronunciation on some vowels. But, there is a program included in the course that helps you with that. I totally recommend this course. 감사합니다 ! ",5
Financial Markets,By Deleted A,"Apr 23, 2019","This course is virtually worthless. I couldn't follow the lectures, and I have a PhD and have been a tenured professor for almost two decades. The online course is based on snippets taken from face-to-face lectures and breakout sessions, and the result is utter incoherence. The instructor frequently refers to concepts that have not yet been encountered in the online version of the course; makes extensive use of mathematical notations and formulas whose variables are never properly explained; and generally does a poor job of explaining the material. This online version of the Yale course was obviously slapped together with very little thought and production value; it's one of those unsuccessful attempts to bring in revenue on the cheap, creating an online version out of existing face-to-face material, rather than building a real online course from scratch. This was wasted money and time. This attempt to capitalize on the Yale brand is pathetic.    ",1
Financial Markets,By Sanam P,"Oct 23, 2017","This course was horrible! The Content was very disoriented and unclear. Videos were distorted, and jumping from one topic to another. There was no sense of continuity. One can not say this was a course from Yale...",1
Financial Markets,By Marco v,"Nov 25, 2019","Mr. Shiller is a nice professor, but this course has many flaws so I did not complete it. ",2
Financial Markets,By Brendan F,"Jan 29, 2019",Terrible lecturer. Maybe he should retire. He can't stay on point. Lectures are unwatchable - except for the beautiful auditorium stage.,1
Financial Markets,By Shakeel k,"May 10, 2020",This course is so useful to know about finance in depth it gives more examples about the finance . It help to make more decision in finance market. It also motivate students to attract towards finance,5
Financial Markets,By Andrea S,"Mar 21, 2018","Basic 360 degree course on financial markets, recommended even for experienced financial professionals as Prof. Shiller could give you a different perspective on how modern financial economies work.",5
Financial Markets,By Eli,"Sep 18, 2017",This course was aweful! I feel like I didnt learn anything useful. The information is very superficial. The math that is applied at some points is not well explained. The overall course lacks structure and substance. The quizes were just terrible. Please dont waste your time with this.,1
Financial Markets,By Ibnu N H,"Mar 11, 2021",This course is easy to follow and interesting. Professor Shiller is very motivating. It not teaching about finance but more importantly how finance can build a better life for all. Really recommended.,5
Financial Markets,By João P D d C,"Aug 21, 2020","Curso perfeito em todos os aspectos, me introduziu ao mercado financeiro e me fez querer escolher essa área para atuar. Robert Shiller merece o posto de maiores economistas que temos, pessoa incrível.",5
Financial Markets,By Megumi K,"Jun 3, 2020","Through this course, I have learned not only technical financial terms but much deeper meaning of the financial markets which I always wanted to understand. I feel very lucky that I took this course.",5
Financial Markets,By BANSIBEN K,"Oct 26, 2021",This course is so useful to know about finance in depth it gives more examples about the finance . It help to make more decision in finance market. It also motivate students to attract towards finance,5
Financial Markets,By Sebastian S,"Jan 5, 2020",I was expecting more from the course. It is very unstrucuted and even misses a complete table of contents. Having paid for this course I would also have expected some manuscripts or at least a copy of the (rather unusable) slides.,1
Financial Markets,By Alexander v D,"Aug 28, 2017",Great introductory course. Prof. Schiller's enthusiasm and style make it a pleasure to watch. Also the TA's and the group discussions interspersed in the course make it a very personable experience.,5
Financial Markets,By Tiyash B,"May 3, 2018","A great introductory level course which is recommended for anyone with a remote interest in finance irrespective of whether they have a background in finance or economics. The strongest point of this course is the simplicity with which it conveys the importance and relevance of finance in today's world. The instructor and his team have taken great care to introduce topics in a manner simple enough for anyone to understand. While the course content may not go very in-depth into how a particular stock market works, or how particular stocks move, it provides great insight into why the stock market is necessary and relevant in our current society and how human behavior and its expression through policy and law can result in both financial progress and also crisis. ",5
Financial Markets,By Erik M,"Nov 4, 2018",This was really a great experience. A course taught by a valued teach. Enjoyed it all the way though I would have liked more mathematical and theoretical models. But then where do you end in a MOOC ?,5
Financial Markets,By Doan T L ,"May 26, 2019","It’s a good online course in Finance that I have never learned before. I have gained the basic knowledge of financial markets and their applications in reality. Absolutely right, finance is not just about making money that I thought before joining in this course, and as a popular opinion as well, it is more than that, it has much more meaningful. This course has brought to me the necessary skills to make more rational decisions in my life, in my future career, I think. It’s also helped me to realize how I should work in this sector to serve the right purposes, to make the people living around me to be better. And it’s true that educational finance is very important to everyone. Professor Robert Shiller is an amazing teacher, many thanks to Professor Robert Shiller and Yale’s Financial Markets Course team. I highly recommend taking this course! ",5
Financial Markets,By Stefano E,"Mar 17, 2019","Probably the best financial market course on coursera. Intense and very rich in content. Too much,  though. Many topics would require more than a 10 minute video to be properly understood, and some lectures were difficult to follow. I'd probably reduce the content and focus on less topics but giving them more time.",3
Financial Markets,By Aniket G,"May 20, 2019","It was not very interesting. The course needs to be more self-explanatory, with real world examples, and not dull",1
Financial Markets,By David S,"May 29, 2020",I find the professor is hard to understand because he is so slow in making a point.  I have listened to a few lectures and have given up.  I am going to look for another course.,1
Financial Markets,"By Ahmed, A M","Sep 25, 2020",The Professor was very knowledgeable and carried the class along with him. He made the course very easy for me even though the course was long. I want to use this opportunity to say thank you to him.,5
Financial Markets,By Aayushi a,"Jun 16, 2020","Through this course, I have learned not only technical financial terms but much deeper meaning of the financial markets which I always wanted to understand. I feel very lucky that I took this course.",5
Financial Markets,By James N,"Jun 7, 2019","From a knowledge perspective, I have learned a lot about financial markets, why various financial instruments exist, and the applications/implications of them. With all due respect to the lecturer, he was not very engaging and did not really provide emphasis on key concepts to make it stick. When explaining the concepts, he would ""dilute"" it with extra words or go off talking about ""relevant"" back story without wrapping it all up at the end. I had to review most of the videos a second time.",3
Financial Markets,By Emmanuel I,"Mar 15, 2019","I enjoyed the course thoroughly, it was a little difficult at first because my background isn't in finance. However, I pushed myself  to understand the concepts and principles such that I started to enjoy it. The lectures were really engaging. Now I have foundational understanding of finance upon which I can build my knowledge and also my ability to make informed application.",5
Financial Markets,By Anthony S,"Jan 10, 2019","Some parts of the course were informative.  Some were disappointing.  Replaying it in my mind now that I'm done, I feel that the course dwelt on the flaws of financial markets, rather than being an explanation of their workings.  It was an indictment of markets more than I would have expected, instead of being instructive toward them.  There was a section toward the end on ""critics of finance"".  Far less effort was made in defense of modern finance (a wonderful field).",3
Financial Markets,By Maumau B,"Jun 30, 2019","You can never get bored with Professor Shiller. He is very passionate about how things work or how to make it happen, and will convince you that everything in life needed finance. He likes history and is a lifelong learner. I rated 5 stars because he made it simple for people to learn regardless of ages or education. ",5
Business Analysis & Process Management,By Thomas G,"Dec 15, 2020","""Pause and look at this doc ok welcome back now pause and do it yourself ok you now know how to write a business plan"". The instructor simply read a script verbatim with no punctuation, pauses, or personality. The whole thing was incredibly rushed, and ""rushed"" is not the same thing as ""fast paced"". Absolutely no justification for using the clunky Rhyme virtual desktop, as all you do is open a Google Doc and make a Lucid Chart account. Why would I log into my email and set up another account in your virtual desktop?",1
Business Analysis & Process Management,By Gisela W,"Dec 19, 2020","I like the hands-on platform and the approach of following along with the instructor side by side. However, the instructor speaks way too fast. I lowered the speed to 0.7 and was still struggling to follow. Also, at times the questions/instructions are not 100% clear or confusing so that I wasn't sure what to do and just kept watching. The content is quite superficial. The project does give you some guidance in modeling a simple business process using Lucidchart which I appreciate.",2
Business Analysis & Process Management,By Deleted A,"Feb 11, 2021","Coursera please remove this course!  It's poorly organised , there's background noise on the audio, the instructor asks students to sign into their Google account and then create a Lucidchart account.  All of the learning materials should be within Rhyme.",1
Business Analysis & Process Management,By TUSHAR S,"Feb 1, 2021",This instructor has a very poor style of teaching and doesn't have proper knowledge of the subject. She's reading all the way during the course to explain some technical terms.,1
Business Analysis & Process Management,By Ellvina K,"May 7, 2021","Even at the start I was unable to follow through this project, since the material was not available / no link provided whatsoever to download it. I had high expectation for this guided project but it turned out to be a disappointment. Hope the instructor will give better facilitation so the benefit for this project can be realised.",1
Business Analysis & Process Management,By Oussama S,"Jan 16, 2021",Nothing to do with Business Analysis and Process Management,1
Business Analysis & Process Management,By Ahmed N,"May 11, 2021","bad sound; quality and speed, vague, and of course introduction to the introduction. the subject matter would need a full course after i went through this.",1
Business Analysis & Process Management,By Charlie A,"May 18, 2021",I was immediately confused and couldn't follow. I'll stick to project management and product management  ,1
Business Analysis & Process Management,By Vai A,"May 25, 2021",poor audio. poor instruction and missed connections. ,1
Business Analysis & Process Management,By Joyal G,"Aug 14, 2022",poor presentation,1
Business Analysis & Process Management,By Alwaleed A M A,"Jul 1, 2021",really disappointing course.,1
Business Analysis & Process Management,By Raghavan P,"Nov 19, 2020",A very basic overview has been provided. The course could've spanned a little longer (say 2-3 hours) so that I could get a better insight into the topics!,5
Business Analysis & Process Management,By Thao P,"Jul 6, 2021",instructor speaks to fast and digital tool is too difficult to use,1
Business Analysis & Process Management,By Artem D,"Sep 12, 2021","amateur quality of video/audio: is poor, sometimes unreadable/inaudible, instructor reads text from paper (voice is like a robot) and some elements were not discussed, but seen in solutions.",2
Business Analysis & Process Management,By Nguyen D T,"Jun 27, 2021",It is not convenient for use. I can not find the course's material. ,2
Business Analysis & Process Management,By Joel B,"Dec 22, 2022","Worst course I have ever come across in Coursera. Dropped in the before half way through the course.
Poor teaching, Poor audio quality, lack of understanding etc. The course mentions that its also for beginners but nothing taught to beginners.",1
Business Analysis & Process Management,By Sara D,"Sep 15, 2020","Could have used some more detail about the tasks going into the flowchart exercise. Also, it was difficult to see the instructor's LucidChart diagram due to low resolution.",4
Business Analysis & Process Management,By Emmanuel O,"Jun 16, 2021",An amazing course!,5
Business Analysis & Process Management,By Priya K,"Sep 30, 2021","Very short and concisely with comprehensive practices about how to structure business problems, get to the root cause and mapping the solution and the business processes as well.",5
Business Analysis & Process Management,By Shubham C,"Feb 19, 2021",A good course to start with business process and a bit learning of analysis as well. I would reccommend this to all the beginners.,5
Business Analysis & Process Management,By Nomathamsanqa P N,"Jun 17, 2022",Great project!!,5
Business Analysis & Process Management,By NG T S,"Apr 9, 2021",Too short and easy.,2
Business Analysis & Process Management,By Moh. S A A A,"Jun 29, 2022",I think this is a very useful course as it is a guided project for beginners and professionals who run small  businesses or work in the fields of business analysis and business process management. I gained some prior knowledge to analyze the company from a process perspective and further developed the skills needed to find solutions to  business problems.,5
Business Analysis & Process Management,By Syed A A,"May 31, 2021",Just completed Business Analysis and Process Management Course from ,5
Business Analysis & Process Management,By Julio C S G,"Jun 26, 2022",Conceptos basicos claros acerca del analisis de negocios y gestion de procesos,5
"Python for Data Science, AI & Development",By David J,"Apr 20, 2019","Course focuses more on forcing you to sign up for various IBM cloud tools than learning python.  The final assignment has a 300+ reply thread in the discussion forum because you are graded on the ability to integrate your IBM Watson Notebook with IBM cloud storage, but the instructions have multiple errors, such as not working if you provision your storage in the wrong region.",1
"Python for Data Science, AI & Development",By Ruben F,"Nov 26, 2018",Still I don't understand the relation of the course' content and the final assignment. ,1
"Python for Data Science, AI & Development",By Jiayang Z,"Feb 12, 2019","The worst course I took. I couldn't believe the course is provided by IBM. The slide is completely unclear and there are some small mistakes in that. And the final project is aimless, I don't know why you come up with such a project for the beginner. Anyway, I'm so disappointed with IBM and this course. ",1
"Python for Data Science, AI & Development",By Julian L G,"Jan 4, 2019","It is amazing how bad this is considering that it is marketed as an IBM product. This is not the level of quality people expect when they hear the name IBM! You'd be better off paying 9.99 for a Udemy course than taking this course. It is not in depth at all and does a stunningly poor job at building real understanding and competency. The videos and labs are full of sloppiness and errors... again, not living up to the IBM name. I don't know about y'all, but I'm probably never going to pay money for a coursera course again... not really worth it.",1
"Python for Data Science, AI & Development",By Robert I,"May 10, 2019","I had a lot of problems with the Peer Assignment, which had nothing to do with Python Programming. The Watson environment has changed a lot compared to the learning materials.",1
"Python for Data Science, AI & Development",By William B L,"Mar 15, 2019","Every course has offered something interesting, challenging, and surprising.  I am glad I have spent the time with this class.  I would strongly recommend it to others with an interest in data science.",5
"Python for Data Science, AI & Development",By Aykut Ö,"Mar 4, 2019","  As in the other parts of the certificate, the tasks are simply too easy. The content in the videos (many typos!!!!) are really valuable but the tasks man... Only the surface of the surface will be discussed, no deeping down into the wild. In this course the libraries numpy and pandas are presented but in the final assignment we actually don't needed the libs... When I read the description of the final assignment, I was excited because I assumed we will need to code EVERYTHING ourselves. So really do the thinking of how to solve the requirements, testing it in a notebook out, reading the docs, discovering new cool stuff... But unfortunately my dream did not come true. The most exciting function was already provided and some of the answers were little bit of copy and paste instead of really recalling newly learned knowledge. Before this review I really wanted to give 4 out of 5 stars but after writing this review I will now give only 2 stars. Actually, 2 stars are in my opinion unfair, since the creators have put a lot of time and love in the course content. Unfortunately, so much potential is thrown away  ",2
"Python for Data Science, AI & Development",By Asim I,"May 21, 2019", (5 stars):  Course was great!!  ,1
"Python for Data Science, AI & Development",By Declan H M G,"May 22, 2019","The course content is good. However, the instructions for the final peer graded assignment are unclear. It appears to me that we were graded on our ability to interact with IBM cloud and Watson service not so much python skills also. Although I completed, I would not recommend to other until changes are made. It seems I'm not the only one that is unhappy or who had difficulties, just look at the week 5 discussion forum!",1
"Python for Data Science, AI & Development",By Jennifer P,"Dec 27, 2018","This class was supposed to be for beginners and most of the information in the videos was easy to digest, however, the final project had elements and questions that were never covered. Also, there were many, many spelling and context errors in the videos and quizzes. This lead to a tremendous amount of confusion and I am not happy with this course or my grade. Please consider reviewing the lessons and final project to cater this course more to beginners.",1
"Python for Data Science, AI & Development",By Steve O,"Oct 31, 2018","The IBM cloud ""service"" leaves much to be desired. Multiple times I've experienced outages while I was in the middle of lab assignments. It's a paid course where they give you ""free"" credits to do the course work in their cloud ""service."" But the credits are inadequate for the labs and they constantly ask for your credit card to buy more ""service."" While the class is okay I wouldn't recommend it to anyone because of the poor IBM cloud support.",1
"Python for Data Science, AI & Development",By Het P,"Feb 18, 2019","Time waster, doesn't go in depth, the total video content is of less then 2 hours. The quizzes and assignments are too easy.",1
"Python for Data Science, AI & Development",By Jason U,"Nov 15, 2018",The final project at week 5 needs to be completely revamped.  Poor learning experience...absolutely ridiculous and is creating tremendous frustration amongst all students.,1
"Python for Data Science, AI & Development",By Muhammad U A,"May 17, 2020",The syllabus of the course takes you in a roller-coaster ride.,5
"Python for Data Science, AI & Development",By Michael R,"Aug 31, 2018","No support from moderators, plenty of typos.",1
"Python for Data Science, AI & Development",By Farzaneh G,"Jan 8, 2019","It was basic Python. You need this to be able to use Python for data science, however the name of the course could have been Python 101.",4
"Python for Data Science, AI & Development",By Semant J P,"May 6, 2019","Overall, the course lectures are highly condensed and fly by very quickly. I'm familiar with Python but I still had to go back and review them a few times. Would prefer the video materials to be reviewed more slowly and deliberately.",3
"Python for Data Science, AI & Development",By Vigneshwaran P,"Mar 2, 2019","Need detailed explanation for the topics, course need to be rephrased accordingly.",1
"Python for Data Science, AI & Development",By Thabo M,"Nov 19, 2019","it becomes easier wand clearer when one gets to complete the assignments as to how to utilize what has been learned. Practical work is a great way to learn, which was a fundamental part of the course.",5
"Python for Data Science, AI & Development",By Sujai C,"Apr 19, 2019",The programming assignment had errors and it took a long time to figure out  (e.g. wrong endpoint was specified).  I ended up having to waste a lot of time on this.,2
"Python for Data Science, AI & Development",By ruhul a,"Mar 27, 2020","Python is just what is in trend and not because of its usability, but it is just anybody can use with wide use case in each and every domain. A good start for someone looking for a start with Python   ",5
"Python for Data Science, AI & Development",By Fredrik R,"Mar 18, 2019",Seems to teach fundamentals but the final graded assignment had very little to do with what was taught,2
"Python for Data Science, AI & Development",By Arjan Z,"May 23, 2019","the final assignment was extremely poorly set-up. Instructions were full of gaps, omissions, spelling mistakes. Looked like it was written by a deep-expert who assumed a lot of knowledge that you do not have at this entry level and that was nowhere made explicit. I spend many hours on a number of evenings figuring what was meant. If this lead to constructive learning, I'd be OK with it. But now it was just a long egg-hunt to figure out how I was to post something using idiosyncratic IBM infrastructure which taught me little about Python. Was this course even test driven?",1
"Python for Data Science, AI & Development",By Simon O,"Apr 20, 2019",Final test needs to be actually tested by instructors. Has a few bugs in it. You would learn more about python reading a book. ,1
"Python for Data Science, AI & Development",By Pranay C,"May 27, 2019","Very good course for people who do not know Python. It just starts with the basic and focuses on data structures which is essential for Data Science. Does not teach you any unessential Python syntax which will not be useful in this specialization course. If you know any programming language, you will get it (because Python is easier and simpler than the language you know :)",5
Introduction to Microsoft Excel,By Kaitlin O,"Dec 14, 2021","if you have ANY knowledge of excel, don't waste your time with this. i could have figured this stuff out by opening an excel doc. you will learn how to bold/underline a header and sum a column of data. if you want more in depth knowledge of excel, try a different course.",1
Introduction to Microsoft Excel,By Malu C,"Aug 5, 2022",An excellent and easy to understand course for those who need to use excel for work or school but have no idea of how to get started. This course will guide you with all the basics,5
Introduction to Microsoft Excel,By Kevin A,"Jan 18, 2023",A little less content than expected but the title does say it's just an intro plus it's free. The explanations are clear and the course is quite engaging.  The Coursera platform is very user-friendly.,5
Introduction to Microsoft Excel,By Aron A S,"Apr 13, 2022",this is best for begginner guided course in excel which will help him/her the power of excel,5
Introduction to Microsoft Excel,By AYSHA S,"Feb 9, 2024","After completing the course, I was hoping to have a deeper understanding of the subject matter. However, I found that the course only touched on the surface-level concepts and lacked in-depth analysis. The course content was quite basic and did not provide any new insights or knowledge that I was not already aware of. Overall, I was disappointed with the course and felt that it did not meet my expectations. I had expected the course to be more detailed, but unfortunately, I didn't gain much knowledge. The material covered in this course is quite basic.",1
Introduction to Microsoft Excel,By Ayesha N,"Feb 17, 2024","Complete waste of time for someone who knows the VERY BASICS of excel. if you have never even heard of excel before then this is for you, but even then there would be better ways to learn the basics",1
Introduction to Microsoft Excel,By HARSH A,"Mar 25, 2022",This guided project is very practical and way better than theoretical learning.,5
Introduction to Microsoft Excel,By jess m,"Jul 18, 2022",VERY basic intro to Excel. Great clear instructions and easy to do.,5
Introduction to Microsoft Excel,By Zyrus A,"Jul 8, 2022","Ever since I started working in our office a month ago, Microsoft Excel was one of the most software apps that I am frequently using whenever I'm doing report—so I took this course to freshen my skills on it once again, and it helped me a lot.  A huge thanks to our kind Professor, Ms. Summer Scaggs for being a good instructor and delivering the lesson very well during the entire online class.  ",5
Introduction to Microsoft Excel,By Annalisa G,"Apr 5, 2022","One question in the quiz is confusing.  It says to ""create a worksheet in Excel that shows the number of states for each sales person.  What would you put as the header for column A and column B (in that order)""  The order of the information provided says ""number of states for each sales person"" which would be option 4, ""No. of States, Salesperson"".  The other interpretation would be option 1, ""Salesperson, No. Of States"".  This question just needs to be more clear so it's not open to interpretation, leading to answering the question incorrectly.",4
Introduction to Microsoft Excel,By Satyam S,"Nov 12, 2022",It is a Good free resource for learning. Use it.,5
Introduction to Microsoft Excel,By Awais A,"Feb 27, 2023",This platform is very helpful for learning skills.,5
Introduction to Microsoft Excel,By Gunjan G,"Aug 14, 2023",Certificate doesn't contain my name on it. also the completion date is wrong on the certificate. this makes it useless for me to do this course,1
Introduction to Microsoft Excel,By Pam F,"Jul 28, 2022",Was hard to navigate and really didn't learn anything to help me with Excel. ,1
Introduction to Microsoft Excel,By tita m,"Dec 6, 2023","Introduction to Microsoft Excel course is an excellent starting point for anyone looking to master spreadsheet skills. The course provides a clear and comprehensive overview of Excel’s functionalities, making it accessible for beginners. The instructor breaks down complex concepts into manageable segments, making it easy to follow along and understand.",5
Introduction to Microsoft Excel,By Fajar S,"Jan 12, 2024","Recommended for kids around elementary school who just started to gain hands-on experience using cloud based productivity applications such as Microsoft 365 family.
Also apply to mature people who just switching from old fashioned desktop oriented office productivity suit into cloud based modern office productivity suits.",5
Introduction to Microsoft Excel,By Alexander A,"Jan 13, 2023",A very short course that can be finished withing an hour but only goes over very basic functions and layout of excel. for me it was a great starting point to lunch me into more content for excel ,5
Introduction to Microsoft Excel,By WAQAS A,"Jun 26, 2022",such a tremendous guided project it looks difficult to start it  but when you start it the instructure makes it very easy i will recommend it at all every where.,5
Introduction to Microsoft Excel,By Jiayu F,"Aug 6, 2022","Nice video and useful project. Even though the knowledge is pretty entry-level, but it really teaches me some useful shortcuts in Excel",5
Introduction to Microsoft Excel,By Brandy B,"May 28, 2022",Great introduction class and easy for anyone to understand. ,5
Introduction to Microsoft Excel,By Indigo R,"May 17, 2024","difficult to understand instructor, the audio is high-pitched and grating, the video is too small to see properly to work side-by-side in the lab, lab is difficult to use as described by the instructor. Looking for another education source ",1
Introduction to Microsoft Excel,By Esteban G J,"May 1, 2024","The instructor was not aware of the formulas that Excel has to offer. Instead of inserting ""=Sum(x:y), the instructor just wrote ""= "" and individually selected each cell to followed by a plus sign after each cell. ",1
Introduction to Microsoft Excel,By Devon W,"May 5, 2023",Not Necessary to look at all only 6 mins worth of information that isnt even information thats new to even a beginner it simply explains why microsoft excel was created which is obvious,1
Introduction to Microsoft Excel,By Humberto,"May 26, 2024","Muy mala orientación puesto que busque cursos en español y me sugirieron este, luego de hacer los paso para inscribirme y comenzar me entero que es todo en ingles, gracias, saludos
",1
Introduction to Microsoft Excel,By Martha S,"Dec 2, 2023",there is nothing to learn from or watch. I wanted real videos on how to create real spreadsheets and understand the formulas and pivot tables not just some basic stuff,1
English for Common Interactions in the Workplace: Basic Level,By Elías G (,"Sep 20, 2020",I really loved this course! I've learned a lot and improved my confidence about talking with other in the office. Thanks again and congratulations for a job well done!,5
English for Common Interactions in the Workplace: Basic Level,By Elianel S,"Jan 22, 2021",me encanta es basico y eficaz para aprender mas del dia a dia. me gustaria poder tener la opcion de poder terminarlo y luego pagar mi certificado.,5
English for Common Interactions in the Workplace: Basic Level,By Shivam V,"Apr 27, 2023",It's an amazing course. The teaching meathodolgy is really amazing.  It was a fun time going through this course and learning different aspects of workplace communication,5
English for Common Interactions in the Workplace: Basic Level,By Mary R C A,"Oct 31, 2020","The lectures were very simple and easy to follow. Also, it was good that the number of quizzes is only few because there are already practice questions in every lecture.",5
English for Common Interactions in the Workplace: Basic Level,By Khin S W,"Oct 1, 2020",This is a great course for beginner level. I was enjoyed during this course. I've learned many excellent video. Thank you so much.,5
English for Common Interactions in the Workplace: Basic Level,By Samer T,"Aug 12, 2020",I have been very happy with my experience using coursera It's was High-quality video and flexible time and it's free great for beginner and also  refresh your English grammar. ,5
English for Common Interactions in the Workplace: Basic Level,By Irene t,"Aug 19, 2020",It was really interesting. I understood the difference in the pronunciation of past form of verbs.,5
English for Common Interactions in the Workplace: Basic Level,By SABOGAL P J A,"Aug 16, 2020",Thank you so much for this course.,5
English for Common Interactions in the Workplace: Basic Level,By sanya k,"Aug 19, 2020",It was nice learning ,5
English for Common Interactions in the Workplace: Basic Level,By Felipe R,"Jun 18, 2021",Muy buen curso!! dinámico y las clases trabajan muy bien las diferentes dimensiones de los conceptos que buscan explicar. ,5
English for Common Interactions in the Workplace: Basic Level,By Roman Z,"Aug 21, 2020","Thank you for this course, i was learned how and what's says, I still have so much to do  ",5
English for Common Interactions in the Workplace: Basic Level,By Jeeru R S R,"Sep 10, 2020",very useful to me to improve myself,5
English for Common Interactions in the Workplace: Basic Level,By Paul V G,"Aug 31, 2020",It was fun and informative as well! ,5
English for Common Interactions in the Workplace: Basic Level,By Атаджанова Ю Д,"Aug 5, 2020","большое спасибо, было интересно",5
English for Common Interactions in the Workplace: Basic Level,By HARSHITHA T S,"Sep 9, 2020",It was such a nice experience!,5
English for Common Interactions in the Workplace: Basic Level,By Jordi G,"Sep 9, 2020",Excellent course.,5
English for Common Interactions in the Workplace: Basic Level,By Yurany A T,"Jun 19, 2021","Muy explicado todo, realmente aprendí varias estrategias para leer y escuchar el inglés.",5
English for Common Interactions in the Workplace: Basic Level,By GUNASEKARAN M R,"Aug 21, 2020",the course is very useful to a basic English language learner ,5
English for Common Interactions in the Workplace: Basic Level,By Rusdi B,"Jun 8, 2021",VERY GOOD AND UNDERSTANDABLE FOR BEGINNER LEARNER LIKE ME,5
English for Common Interactions in the Workplace: Basic Level,By 58_Jayhind P,"Sep 17, 2020",It was an awsome experience,5
English for Common Interactions in the Workplace: Basic Level,By Lourdes G,"Jun 27, 2021","me gusto mucho, aprendi.",5
English for Common Interactions in the Workplace: Basic Level,By Lhodjean A,"Sep 3, 2020",very interesting course!,5
English for Common Interactions in the Workplace: Basic Level,By Roshen R I,"Aug 31, 2020",it's concise and pithy,5
English for Common Interactions in the Workplace: Basic Level,By Surayyo S M,"Aug 20, 2020",Madaminova Surayyo5,5
English for Common Interactions in the Workplace: Basic Level,By maryam s,"Sep 9, 2020",very nice and fun,5
Build a free website with WordPress,By K.S.SNEKHA P,"Sep 23, 2022",no certificate provided,1
Build a free website with WordPress,By youssef h,"Aug 23, 2022","very poor english, very less knowledge ",1
Build a free website with WordPress,By Waqar M,"Oct 14, 2022","Hi, if you are an absolute beginner and want that somebody guides you through the path and initial steps then this is a very good guided course for you. In this few hours course, nobody can show you all the features in action. Obviously, you can explore further. ",5
Build a free website with WordPress,By Raf,"Jun 17, 2024","First of all, this is not an intermediate-level course. It's more of a beginner level.
Secondly, the contents here are way too much outdated.",1
Build a free website with WordPress,By PABFA (,"Aug 25, 2023",Why is my name not mentioned in the certificate?,1
Build a free website with WordPress,By Badr E F,"Jan 24, 2024",You must keep up with the update of the website,1
Build a free website with WordPress,By Varakam,"Apr 15, 2024",Not updated,1
Build a free website with WordPress,By Mahd f,"Jun 10, 2023",BAD,1
Build a free website with WordPress,By Courtney K,"Apr 25, 2023",An extremely straightforward and clear guided project. One will be guided through the basics of creating a website on WordPress and become familiar with the menu options for doing so.,5
Build a free website with WordPress,By Christina,"Oct 5, 2023","Regardless of experience or coming into it blind this course was simple, with plenty of visual aide and a basis of what to do in order to give 100% to your blog/site.",5
Build a free website with WordPress,By EMMANUEL E,"Dec 26, 2023",Kudos to Coursera for allowing me to build my knowledge of Website Design on this platform. This is another height of achievement in 2023. ,5
Build a free website with WordPress,By Aman A,"Aug 12, 2023",This was perfect even though I didn't get anything that had to do with web hosting It still taught great on how to create the design.,5
Build a free website with WordPress,By Abdirahman H,"Apr 10, 2023",Thank you Coursera team ,5
Build a free website with WordPress,By 魚仔,"Jul 16, 2022","I looked up tutorials on YouTube and nothing was as comprehensive as this, this helped me a ton.",5
Build a free website with WordPress,By J T,"Feb 23, 2023",Excellent course.  I highly recommend this if you are looking to build a WordPress website.,5
Build a free website with WordPress,By Aleksandra J,"Jul 20, 2022",I learnt nothing.,2
Build a free website with WordPress,By Andrea,"Dec 13, 2023","I was not allowed to send feedback when I was using my ipad to finish the task. This is confusing as when I managed to get a desktop to do so, there is no such option. Also the command of unenroll was not available as claimed by some online guidelines.",1
Build a free website with WordPress,By Ange F,"Jan 21, 2024","I found typos, more than once. And this is simple enough it could be a youtube video. I want to unenroll.",1
Build a free website with WordPress,By Memoona S,"Apr 7, 2024",There is no option to unenroll from this course,1
Build a free website with WordPress,By Lauren C,"Mar 20, 2024",Not helpful at all.,1
